mep_id,date,occupation,activity,first_name,last_name,country,eugroup
188906,occupation,Lecturer,1,Francis,ZAMMIT DIMECH,Malta,PPE
188906,activity,Lecturer,1,Francis,ZAMMIT DIMECH,Malta,PPE
188906,occasional,Legal consultant,2,Francis,ZAMMIT DIMECH,Malta,PPE
188906,membership,Director| Venus Multi-Strategy Fund,1,Francis,ZAMMIT DIMECH,Malta,PPE
188906,membership,Director| Hullabaloo Limited,1,Francis,ZAMMIT DIMECH,Malta,PPE
188906,membership,Director| Bulooba Holdings Limited,1,Francis,ZAMMIT DIMECH,Malta,PPE
188906,membership,Director| Tagyll Holding Limited,1,Francis,ZAMMIT DIMECH,Malta,PPE
188906,membership,Chairman / Director| AWS Malta  Limited,1,Francis,ZAMMIT DIMECH,Malta,PPE
125069,occupation,Βουλευτική αποζημίωση,3,Notis,MARIAS,Greece,ECR
125069,occupation,Καθηγητής ΑΕΙ,2,Notis,MARIAS,Greece,ECR
125069,occupation,Δικηγορία,-1,Notis,MARIAS,Greece,ECR
96806,occupation,Fundación Alberto Jiménez-  Becerril contra el terrorismo,0,Teresa,JIMÉNEZ-BECERRIL BARRIO,Spain,PPE
96806,occupation,Diputada al Parlamento Europeo,4,Teresa,JIMÉNEZ-BECERRIL BARRIO,Spain,PPE
23894,occupation,Poslanec EP,3,Anna,ZÁBORSKÁ,Slovakia,PPE
